id;cnn;nr_classes;expand_neutral;shift_neutral;method;data_augmented;metadata_descriptors;semantic_descriptors;dataset_strategy;dataset_size;class_balance;include_no_data
1;resnet;5;;;dominant3;;;;;;0;True
2;resnet;5;;;dominant4;;;;;;0;True
3;resnet;5;;;dominant5;;;;;;0;True
4;resnet;3;;;dominant3;;;;;;0;True
5;resnet;3;;;dominant4;;;;;;0;True
6;resnet;3;;;dominant5;;;;;;0;True
7;resnet;2;;negative;dominant3;;;;;;0;True
8;resnet;2;;negative;dominant4;;;;;;0;True
9;resnet;2;;negative;dominant5;;;;;;0;True
10;resnet;2;;positive;dominant3;;;;;;0;True
11;resnet;2;;positive;dominant4;;;;;;0;True
12;resnet;2;;positive;dominant5;;;;;;0;True
13;resnet;5;;;dominant3;;True;;;;0;True
14;resnet;5;;;dominant4;;True;;;;0;True
15;resnet;5;;;dominant5;;True;;;;0;True
16;resnet;3;;;dominant3;;True;;;;0;True
17;resnet;3;;;dominant4;;True;;;;0;True
18;resnet;3;;;dominant5;;True;;;;0;True
19;resnet;2;;negative;dominant3;;True;;;;0;True
20;resnet;2;;negative;dominant4;;True;;;;0;True
21;resnet;2;;negative;dominant5;;True;;;;0;True
22;resnet;2;;positive;dominant3;;True;;;;0;True
23;resnet;2;;positive;dominant4;;True;;;;0;True
24;resnet;2;;positive;dominant5;;True;;;;0;True
25;resnet;5;;;dominant3;;;True;;;0;True
26;resnet;5;;;dominant4;;;True;;;0;True
27;resnet;5;;;dominant5;;;True;;;0;True
28;resnet;3;;;dominant3;;;True;;;0;True
29;resnet;3;;;dominant4;;;True;;;0;True
30;resnet;3;;;dominant5;;;True;;;0;True
31;resnet;2;;negative;dominant3;;;True;;;0;True
32;resnet;2;;negative;dominant4;;;True;;;0;True
33;resnet;2;;negative;dominant5;;;True;;;0;True
34;resnet;2;;positive;dominant3;;;True;;;0;True
35;resnet;2;;positive;dominant4;;;True;;;0;True
36;resnet;2;;positive;dominant5;;;True;;;0;True
37;resnet;5;;;dominant3;;True;True;;;0;True
38;resnet;5;;;dominant4;;True;True;;;0;True
39;resnet;5;;;dominant5;;True;True;;;0;True
40;resnet;3;;;dominant3;;True;True;;;0;True
41;resnet;3;;;dominant4;;True;True;;;0;True
42;resnet;3;;;dominant5;;True;True;;;0;True
43;resnet;2;;negative;dominant3;;True;True;;;0;True
44;resnet;2;;negative;dominant4;;True;True;;;0;True
45;resnet;2;;negative;dominant5;;True;True;;;0;True
46;resnet;2;;positive;dominant3;;True;True;;;0;True
47;resnet;2;;positive;dominant4;;True;True;;;0;True
48;resnet;2;;positive;dominant5;;True;True;;;0;True
49;resnet;5;;;individual;;;;;;0;True
50;resnet;3;;;individual;;;;;;0;True
51;resnet;2;;negative;individual;;;;;;0;True
52;resnet;2;;positive;individual;;;;;;0;True
53;resnet;5;;;individual;;True;;;;0;True
54;resnet;3;;;individual;;True;;;;0;True
55;resnet;2;;negative;individual;;True;;;;0;True
56;resnet;2;;positive;individual;;True;;;;0;True
57;resnet;5;;;individual;;;True;;;0;True
58;resnet;3;;;individual;;;True;;;0;True
59;resnet;2;;negative;individual;;;True;;;0;True
60;resnet;2;;positive;individual;;;True;;;0;True
61;resnet;5;;;individual;;True;True;;;0;True
62;resnet;3;;;individual;;True;True;;;0;True
63;resnet;2;;negative;individual;;True;True;;;0;True
64;resnet;2;;positive;individual;;True;True;;;0;True